measurement_id,sample_id,source_id,measurement_mode,experiment_type,temperature_raw,temperature_c,pressure_raw,pressure_bar,pressure_relation,duration_raw,duration_seconds,hydrogen_capacity_wt_pct,capacity_lower_wt_pct,capacity_upper_wt_pct,capacity_basis,value_qualifier,reported_uncertainty_wt_pct,cycle_number,source_pdf_page,source_locator,extraction_type,extraction_note,include_in_default_training
M-0056,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,30 bar,30,=,6 h,21600,6,,,sample mass,approximately,,,3,Section 3.1; Fig. 2a,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0057,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,30 bar,30,=,12 h,43200,6.4,,,sample mass,approximately,,,3,Section 3.1; Fig. S2,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0058,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,50 C,50,30 bar,30,=,30 min,1800,4.4,,,sample mass,approximately,,,3,Section 3.1; Fig. 2b,author_reported_text,,true
M-0059,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,100 C,100,30 bar,30,=,30 min,1800,4.5,,,sample mass,approximately,,,3,Section 3.1; Fig. 2b,author_reported_text,,true
M-0060,S-F08-NATI5,SRC-0008,desorption,isothermal_kinetics,290 C,290,0.001 bar,0.001,=,15 min,900,7.2,,,sample mass,approximately,,,3,Section 3.1; Fig. 3a,author_reported_text,,true
M-0061,S-F08-NATI5,SRC-0008,desorption,isothermal_kinetics,260 C,260,0.001 bar,0.001,=,60 min,3600,6.9,,,sample mass,approximately,,,3,Section 3.1; Fig. 3a,author_reported_text,,true
M-0062,S-F08-CTRL,SRC-0008,desorption,isothermal_kinetics,290 C,290,0.001 bar,0.001,=,120 min,7200,3.1,,,sample mass,approximately,,,3,Section 3.1; Fig. 3a,author_reported_text,,true
M-0063,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,260 C,260,30 bar,30,=,120 s,120,6.6,,,sample mass,approximately,,,3,Section 3.1; Fig. 3b,author_reported_text,,true
M-0064,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,230 C,230,30 bar,30,=,20 min,1200,6.9,,,sample mass,approximately,,,3,Section 3.1; Fig. 3b,author_reported_text,,true
M-0065,S-F08-CTRL,SRC-0008,absorption,isothermal_kinetics,230 C,230,30 bar,30,=,20 min,1200,6,,,sample mass,approximately,,,3,Section 3.1; Fig. 3b,author_reported_text,,true
M-0066,S-F08-CTRL,SRC-0008,absorption,isothermal_kinetics,260 C,260,30 bar,30,=,120 s,120,6.1,,,sample mass,approximately,,,3,Section 3.1; Fig. 3b,author_reported_text,,true
M-0067,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,200 C,200,30 bar,30,=,30 min,1800,6,,,sample mass,approximately,,,3,Section 3.1; Fig. 3b,author_reported_text,,true
M-0068,S-F09-NCM7,SRC-0009,desorption,isothermal_kinetics,300 C,300,,,,200 s,200,6.4,,,sample mass,reported,,,11,Conclusion; Fig. 4b,author_reported_text,,true
M-0069,S-F09-NCM7,SRC-0009,desorption,isothermal_kinetics,300 C,300,,,,5 min,300,6.5,,,sample mass,reported,,,4,Section 3.2; Fig. 4b,author_reported_text,,true
