training_papers,repeat,held_source,training_rows,mae,rmse,r2
14,4,SRC-0005,91,1.7376900582373225,2.162587799544784,0.13669684568152352
14,5,SRC-0006,92,0.9897255974367501,1.0645474795160903,0.5590072627774859
14,6,SRC-0007,95,1.182050289763985,1.4291551035323822,-0.1397861872771844
14,7,SRC-0008,96,1.9040624397498873,2.2482188575662754,-2.1353439808427574
14,8,SRC-0009,98,0.9141342267534102,1.056649536428045,0.8070913120633056
14,9,SRC-0010,96,1.363914537789254,1.6875359813262367,0.49128553515126994
14,10,SRC-0011,97,0.8476090657990593,1.0226116349690961,0.675716922671466
14,11,SRC-0012,90,0.4998990728453708,0.5686789713605198,0.6849970864112708
14,12,SRC-0013,95,1.7964502794021167,2.3360971240120727,0.1551730495001754
14,13,SRC-0014,96,1.8663286723891115,2.4572114494289408,-1.433727286217136
14,14,SRC-0015,103,0.8362670760311106,1.1712694708948201,-1.6099827318910473
14,15,SRC-0016,100,1.318507485441691,1.5621675088584408,0.36154650056213256
14,16,SRC-0001,97,0.8668196680723701,1.0721913614961742,0.4294817291975088
14,17,SRC-0002,96,0.6623043024640682,0.7626748269311365,0.5051475892428696
14,18,SRC-0003,96,0.7794771529828318,1.0130557655636272,0.7160487122939394
14,19,SRC-0004,97,0.7155072795869891,1.002470503563746,0.21248175495307386
