outer_source,grid_index,parameters,inner_grouped_mae
SRC-0011,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3080095446520545
SRC-0011,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3094506556445633
SRC-0012,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3488249743562903
SRC-0012,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3279291044599695
SRC-0012,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3391136722358783
SRC-0012,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.34143438240468
SRC-0012,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3457008656954403
SRC-0012,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.34985642055998
SRC-0013,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2333654915276044
SRC-0013,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.1895556919056995
SRC-0013,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2384124983047387
SRC-0013,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2383313332265768
SRC-0013,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2416468581151943
SRC-0013,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.2499287184435361
SRC-0014,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.164099801101958
SRC-0014,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2551828445729332
SRC-0014,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.1761772101404218
SRC-0014,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.1885645047652926
SRC-0014,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.1666830912057093
SRC-0014,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.211448614071268
SRC-0015,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.258201942580223
